model_name,num_samples,loss,perplexity,teacher_abstain_rate,student_abstain_rate,abstain_agreement_rate,both_abstain_rate,both_answer_rate,exact_match_avg,embedding_similarity_avg,embedding_similarity_adjusted_avg,token_overlap_avg,model_path,timestamp,model_type
Qwen2.5-0.5B-Instruct-base,1886,1.3674590840979104,3.9253639933662017,0.6998939554612937,0.2120890774125132,0.4178154825026511,0.164899257688229,0.252916224814422,0.1675503711558854,0.8012349009513855,0.36754456759763293,0.082266978919506,Qwen/Qwen2.5-0.5B-Instruct,20260124_085126_UTC,full_finetune
Qwen2.5-0.5B-Instruct-lora,1886,0.5232019764962201,1.687422094533052,0.6998939554612937,0.8711558854718982,0.7099681866383881,0.6405090137857901,0.069459172852598,0.6415694591728526,0.8652315735816956,0.7006072857410253,0.5676136016845703,outputs/models/Qwen2.5-0.5B-Instruct-lora-final,20260124_064151_UTC,lora
Qwen2.5-0.5B-Instruct-full-finetune,1886,0.5354136433887783,1.7081546630243694,0.6998939554612937,0.8488865323435844,0.6940615058324496,0.6214209968186638,0.0726405090137857,0.6246023329798516,0.8809800744056702,0.6854158355474219,0.5549820065498352,outputs/models/Qwen-Qwen2.5-0.5B-Instruct-full-finetune-final,20260124_054834_UTC,full_finetune
Qwen2.5-1.5B-Instruct-base,1886,1.4155757471504145,4.11885720373303,0.6998939554612937,0.6983032873806999,0.7205726405090138,0.5593849416755037,0.16118769883351,0.5683987274655355,0.8716523051261902,0.6998845677455435,0.4932203590869903,Qwen/Qwen2.5-1.5B-Instruct,20260124_091719_UTC,full_finetune
Qwen2.5-1.5B-Instruct-lora,1886,0.4628158750569163,1.5885408254979951,0.6998939554612937,0.7979851537645811,0.7682926829268293,0.633085896076352,0.1352067868504772,0.6447507953340403,0.9158383011817932,0.7569134558056217,0.5948927998542786,outputs/models/Qwen2.5-1.5B-Instruct-lora-final,20260124_070317_UTC,lora
Qwen2.5-3B-Instruct-base,1886,1.6021038982641724,4.963464070428304,0.6998939554612937,0.6288441145281018,0.7444326617179216,0.5365853658536586,0.2078472958642629,0.5620360551431601,0.9202849864959717,0.7278641103623654,0.5320624113082886,Qwen/Qwen2.5-3B-Instruct,20260124_095236_UTC,full_finetune
Qwen2.5-3B-Instruct-lora,1886,0.4389764220172079,1.5511187147061969,0.6998939554612937,0.7836691410392365,0.8229056203605515,0.6532343584305408,0.1696712619300106,0.6744432661717922,0.9264124035835266,0.8104199068038107,0.6365934610366821,outputs/models/Qwen2.5-3B-Instruct-lora-final,20260124_070326_UTC,lora
Qwen2.5-3B-Instruct-full-finetune,1886,0.4489821940695637,1.5667167601014411,0.6998939554612937,0.8213149522799575,0.7895015906680806,0.6553552492046659,0.1341463414634146,0.6749734888653235,0.9239697456359863,0.7793024082767875,0.6249383687973022,outputs/models/Qwen-Qwen2.5-3B-Instruct-full-finetune-final,20260124_060832_UTC,full_finetune
Qwen2.5-7B-Instruct-base,1886,1.2303325316497458,3.4223673925676623,0.6998939554612937,0.8324496288441146,0.8186638388123012,0.6755037115588547,0.1431601272534464,0.7067868504772005,0.9471763372421265,0.8111015915048969,0.6698403358459473,Qwen/Qwen2.5-7B-Instruct,20260124_102316_UTC,full_finetune
Qwen2.5-7B-Instruct-lora,1886,0.4275700574403825,1.533526610854292,0.6998939554612937,0.7433722163308589,0.865323435843054,0.6542948038176034,0.2110286320254507,0.676033934252386,0.9325633645057678,0.8510923822699776,0.661338746547699,outputs/models/Qwen2.5-7B-Instruct-lora-final,20260124_080311_UTC,lora
gemma-3-270m-it-base,1886,2.0386799411589305,7.680463839921439,0.6998939554612937,0.6081654294803818,0.5742311770943797,0.4411452810180276,0.133085896076352,0.4411452810180276,0.7701597809791565,0.5436426854493889,0.2726904153823852,google/gemma-3-270m-it,20260124_105010_UTC,full_finetune
gemma-3-270m-it-lora,1886,0.7363158685277236,2.0882280189327447,0.6998939554612937,0.8860021208907741,0.7046659597030753,0.6452810180275715,0.0593849416755037,0.6463414634146342,0.7929559946060181,0.6923706626967939,0.5653465986251831,outputs/models/google_gemma-3-270m-it-lora-final,20260124_052705_UTC,lora
